"host\Time","2024-02-12","2024-02-11","2024-02-10","2024-02-09","2024-02-08","2024-02-07","2024-02-06","2024-02-05","2024-02-04","2024-02-03","2024-02-02","2024-02-01","2024-01-31","2024-01-30"
00-HTZ-FI-HEL-001,89.7,89.2,89.4,89.1,88.9,37.1,89.9,89.7,89.8,89.9,89.0,85.5,78.2,79.7
00-HTZ-FI-HEL-002,89.6,89.5,89.8,89.8,77.1,33.4,90.0,90.0,89.9,90.0,89.9,89.7,89.2,85.6
4N-DED-US-ATL-001,89.9,89.9,89.5,89.6,89.5,89.6,89.4,89.8,89.7,88.8,87.3,86.9,87.0,88.6
4N-DED-US-DFW-US7,76.7,81.3,78.8,84.7,77.3,83.2,85.8,84.3,83.9,72.5,64.2,53.7,54.9,60.9
4N-REL-US-MIA-US8,89.8,89.2,82.2,87.4,87.3,80.3,71.8,87.8,89.6,89.6,89.2,89.9,88.9,85.9
4N-RSI-US-EWR-002,88.4,89.8,89.9,89.3,89.8,89.7,89.8,89.5,89.5,89.5,89.5,89.4,89.8,89.4
4N-WST-NL-AMS-001,90.0,89.9,90.0,89.8,89.7,89.9,89.9,90.0,90.0,90.0,89.9,90.0,90.0,89.8
AQ-CON-DE-DUS-322,25.7,29.9,28.6,33.1,66.1,,,,,,,,,
AQ-CON-JP-NRT-322,26.8,27.5,28.5,28.2,27.2,28.4,28.3,28.8,25.2,24.7,4.19,,,
AQ-VUL-CL-SCL-322,46.1,46.7,38.3,55.7,40.5,48.0,43.6,37.3,34.5,34.1,36.8,31.4,27.0,28.0
AQ-VUL-IL-TLV-322,87.8,85.0,84.2,88.7,81.1,88.4,86.8,87.8,79.6,85.8,88.6,85.1,85.9,82.8
AQ-VUL-MX-MEX-322,89.6,88.9,89.3,89.5,89.2,89.7,89.8,89.8,89.8,89.7,89.2,85.3,88.1,87.8
BC-PQH-TR-IST-456,43.0,45.9,55.8,43.2,63.3,83.2,56.4,46.3,46.7,41.9,42.4,58.7,82.7,73.5
BD-SSD-AU-SYD-001,27.6,31.5,31.2,29.6,27.8,32.2,33.5,34.1,34.9,30.4,29.9,30.0,28.4,29.9
BD-SSD-JP-NRT-000,25.2,27.8,28.0,28.5,28.0,29.5,28.3,27.1,26.9,26.8,24.3,23.4,22.2,22.8
BD-ZON-AT-VIE-000,90.0,90.0,89.9,90.0,90.0,89.9,90.0,89.8,89.9,89.7,89.0,89.2,87.8,88.9
BO-HTZ-US-PDX-085,85.4,86.3,85.1,84.6,81.9,84.4,83.8,86.3,88.3,78.8,71.3,69.4,67.9,70.4
BO-STR-DE-BER-001,27.5,26.6,22.8,20.9,22.5,26.5,26.7,23.7,23.4,23.7,21.8,18.9,22.7,31.5
CR-ATL-CA-YYZ-222,37.9,37.2,39.0,37.2,35.9,35.2,33.8,40.7,43.2,41.2,35.1,33.2,32.5,33.6
CR-DED-US-ICT-111,27.6,26.7,31.7,29.7,29.3,30.9,30.7,32.7,37.2,34.3,29.8,28.8,25.5,25.9
CR-DOC-DE-FRA-008,35.4,38.6,39.0,43.3,62.4,84.6,81.2,84.7,63.9,68.5,87.6,83.1,73.9,57.9
CR-WOR-NL-RTM-666,89.9,89.9,90.0,89.8,89.7,89.9,90.0,90.0,90.0,90.0,90.0,90.0,90.0,89.9
CS-COL-NL-AMS-000,34.6,31.2,35.8,34.7,41.3,37.3,37.7,37.3,36.2,36.1,31.5,30.9,32.4,33.0
CS-COL-US-ALB-000,46.3,45.9,63.1,62.6,58.3,57.8,47.2,46.3,47.8,47.5,44.9,44.9,44.0,44.3
CS-CON-US-CAE-000,89.0,87.9,89.0,88.2,89.6,89.9,90.0,90.0,90.0,90.0,89.7,89.2,88.0,89.7
CS-HTZ-DE-BYU-001,90.0,90.0,89.9,89.6,83.0,71.8,78.6,67.2,57.9,65.7,77.6,89.2,89.7,89.6
CS-HTZ-DE-NUE-001,89.9,90.0,90.0,89.9,89.8,89.9,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
CS-HTZ-FI-HEL-000,90.0,89.9,90.0,89.9,89.9,89.9,90.0,90.0,90.0,90.0,89.9,89.8,89.8,85.7
CS-HTZ-US-PDX-000,73.7,73.7,73.3,74.0,71.9,68.2,70.5,71.9,72.8,70.2,57.3,56.1,49.3,55.4
