Relay/Date,2024-02-01,2024-02-02,2024-02-03,2024-02-04,2024-02-05,2024-02-06,2024-02-07,2024-02-08,2024-02-09,2024-02-10,2024-02-11,2024-02-12,2024-02-13,2024-02-14,2024-02-15,2024-02-16,2024-02-17,2024-02-18,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-24,2024-02-25,2024-02-26,2024-02-27,2024-02-28,2024-02-29
QY-OVH-FR-SXB-002,89.8,90.0,89.9,90.0,90.0,90.0,89.8,89.8,90.0,89.9,90.0,89.9,89.8,89.9,90.0,89.9,89.7,89.9,90.0,89.9,90.0,90.0,89.9,90.0,90.0,89.9,90.0,90.0,90.0
SH-HTZ-US-ASH-001,90.0,89.9,90.0,90.0,89.9,89.4,89.7,90.0,90.0,89.9,90.0,90.0,89.8,90.0,90.0,89.8,89.7,89.9,89.8,89.6,90.0,90.0,90.0,89.9,89.9,89.9,89.9,89.8,89.8
FL-DOC-IN-BLR-025,32.4,1.45,20.2,31.9,32.7,37.8,36.9,40.9,41.5,10.0,22.5,29.4,34.5,36.5,39.8,34.1,40.5,41.5,39.9,46.0,28.3,33.1,35.1,44.0,5.88,56.8,66.2,73.9,60.5
09649CD6A442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00347,0,0,0,0
CS-CON-US-CAE-000,89.2,89.7,90.0,90.0,90.0,90.0,89.9,89.6,88.2,89.0,87.9,89.0,88.9,89.7,89.8,89.9,89.9,89.8,89.9,89.9,89.8,89.7,89.7,15.3,0,0,0,0,0
FF-CON-US-SEA-777,33.8,31.5,33.1,35.3,36.9,37.0,36.8,36.8,37.5,38.0,38.7,35.6,38.4,36.4,38.2,37.0,37.7,29.7,32.9,31.6,34.9,32.3,32.3,32.5,34.7,34.9,37.6,38.8,38.1
00-HTZ-FI-HEL-001,85.5,89.0,89.9,89.8,89.7,89.9,37.1,88.9,89.1,89.4,89.2,89.7,89.3,89.7,89.9,89.9,89.9,90.0,90.0,89.9,89.2,89.9,88.9,89.9,89.9,89.1,89.7,88.9,89.7
40F1CE7924CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00370,0,0,0,0,0
9B6BA28642A9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,1.44,0,0,0,0
WD-CON-SG-SIN-002,30.3,32.6,35.4,37.9,43.4,47.9,38.1,37.0,35.8,35.0,34.6,41.0,37.6,37.3,32.7,35.7,35.4,39.1,40.6,44.1,40.9,42.2,41.1,42.8,40.2,38.6,48.3,57.8,54.2
FX-OVH-FR-LIL-001,90.0,90.0,90.0,90.0,90.0,90.0,90.0,45.9,89.9,89.9,89.9,90.0,89.8,89.7,89.8,89.2,89.4,90.0,90.0,90.0,88.0,89.4,89.1,89.7,90.0,89.6,89.7,89.3,89.7
BD-SSD-AU-SYD-001,30.0,29.9,30.4,34.9,34.1,33.5,32.2,27.8,29.6,31.2,31.5,27.6,26.2,23.8,22.2,26.3,25.8,24.3,24.1,20.9,21.8,21.7,22.7,23.0,25.2,24.9,29.6,26.8,27.4
RS-SPA-IT-FCO-001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,55.5,0
WP-VUL-KR-GMP-412,33.6,37.3,48.3,43.3,45.9,46.8,44.8,58.4,63.0,61.7,61.5,51.2,47.7,45.5,58.6,60.6,39.3,43.9,55.3,64.2,71.5,61.8,41.8,42.9,48.4,44.8,62.9,74.6,87.1
CR-WOR-NL-RTM-666,90.0,90.0,90.0,90.0,90.0,90.0,89.9,89.7,89.8,90.0,89.9,89.9,89.8,89.9,90.0,89.8,89.8,89.9,89.9,89.5,89.8,90.0,89.9,90.0,89.8,89.0,89.5,89.6,88.9
BD-ZON-AT-VIE-000,89.2,89.0,89.7,89.9,89.8,90.0,89.9,90.0,90.0,89.9,90.0,90.0,89.8,89.2,89.9,90.0,89.7,89.2,88.3,89.9,90.0,90.0,89.8,89.8,89.9,89.9,89.9,90.0,90.0
CS-HTZ-DE-BYU-001,89.2,77.6,65.7,57.9,67.2,78.6,71.8,83.0,89.6,89.9,90.0,90.0,89.8,89.9,90.0,89.9,89.9,89.9,90.0,90.0,90.0,90.0,90.0,90.0,89.9,89.8,90.0,90.0,90.0
BC-PQH-TR-IST-456,58.7,42.4,41.9,46.7,46.3,56.4,83.2,63.3,43.2,55.8,45.9,43.0,54.6,56.4,62.8,68.2,44.4,30.8,35.6,55.7,42.4,50.9,54.6,79.3,65.4,58.6,50.9,36.8,35.0
4N-RSI-US-EWR-002,89.4,89.5,89.5,89.5,89.5,89.8,89.7,89.8,89.3,89.9,89.8,88.4,89.6,89.0,89.1,89.8,89.7,89.7,89.8,89.3,89.6,89.9,89.7,89.9,90.0,89.9,89.9,89.9,89.7
WP-CON-AU-SYD-412,26.0,26.3,28.1,29.4,30.0,31.8,35.0,33.0,35.2,29.4,30.0,32.9,31.3,31.4,33.6,34.4,29.7,26.3,29.2,30.7,36.5,35.4,34.5,32.2,27.3,31.1,40.7,39.0,33.0
CS-HTZ-FI-HEL-000,89.8,89.9,90.0,90.0,90.0,90.0,89.9,89.9,89.9,90.0,89.9,90.0,89.8,87.8,89.9,89.0,86.1,89.8,89.9,90.0,89.8,90.0,89.8,89.9,89.9,90.0,89.9,89.9,90.0
TY-VUL-CL-SCL-930,26.6,32.8,32.8,32.3,36.4,43.8,49.5,42.0,60.4,42.9,41.8,40.7,41.8,38.8,40.6,13.4,30.9,33.4,39.6,30.5,31.0,42.1,27.0,31.0,40.1,35.2,41.1,36.3,36.5
44963749B127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000289,0,0,0,0
RS-BLU-IT-PMO-001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL-CON-AU-SYD-000,14.8,31.5,34.8,37.7,36.5,38.9,38.3,37.3,37.7,39.1,39.3,40.1,41.6,43.0,42.2,37.5,36.0,33.6,32.4,31.1,31.4,31.7,33.2,31.7,30.1,34.2,43.8,41.6,39.1
CS-HTZ-DE-NUE-001,90.0,90.0,90.0,90.0,90.0,90.0,89.9,89.8,89.9,90.0,90.0,89.9,89.8,89.9,90.0,89.6,89.9,90.0,90.0,89.9,90.0,89.9,89.7,90.0,90.0,89.9,89.8,89.9,89.7
KZ-RAC-US-BUF-001,90.0,89.7,89.5,88.5,81.1,76.5,88.0,86.5,88.9,89.2,88.9,89.9,89.5,89.7,87.3,82.5,87.7,89.7,89.4,89.0,89.9,89.9,89.9,89.9,89.9,89.8,89.8,89.1,86.0
CAD012DACE76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000116,0,0,0,0
RS-LIG-AE-DXB-001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58,22.4,22.7,21.9,23.7,22.5,22.1,22.8,23.5,21.5,23.3,24.6,24.6
WD-PQH-KZ-NQZ-001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70F8A0771212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383,1.40,0,0,0,0
TY-VUL-ZA-JNB-930,29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RS-SPA-LT-VNO-001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,85.2
BO-HTZ-US-PDX-085,69.4,71.3,78.8,88.3,86.3,83.8,84.4,81.9,84.6,85.1,86.3,85.4,88.8,84.6,64.5,74.8,73.7,67.9,64.5,75.3,84.9,74.3,87.4,88.6,85.3,84.4,87.8,89.4,89.2
XA-PQH-IS-RKV-001,25.8,29.8,33.7,34.0,37.4,36.7,37.2,35.4,34.8,35.0,30.0,22.3,26.9,27.5,22.9,23.4,24.3,25.0,26.2,31.7,21.2,21.3,22.5,20.8,22.6,26.4,25.7,59.4,89.0
4N-REL-US-MIA-US8,89.9,89.2,89.6,89.6,87.8,71.8,80.3,87.3,87.4,82.2,89.2,89.8,87.2,83.2,80.4,46.6,51.1,44.3,52.6,48.7,52.4,48.6,56.3,86.2,86.3,78.1,77.9,58.9,60.2
SC-COL-US-LAX-001,35.2,32.2,35.3,34.5,34.5,32.9,34.8,37.4,35.8,38.7,40.7,45.1,45.1,43.1,42.7,39.9,37.7,36.8,33.9,36.8,39.6,36.6,38.4,36.2,37.7,36.8,36.7,40.0,37.1
GJ-ONE-BR-GRU-614,20.1,23.8,26.2,28.7,24.3,26.5,24.6,23.6,23.8,22.9,22.9,21.8,23.3,21.5,22.7,22.4,22.1,21.1,21.9,21.4,22.9,20.8,23.8,23.1,7.59,7.77,28.0,26.3,25.9
AQ-VUL-CL-SCL-322,31.4,36.8,34.1,34.5,37.3,43.6,48.0,40.5,55.7,38.3,46.7,46.1,47.0,40.3,41.1,28.0,28.8,26.8,26.0,26.6,27.6,26.6,26.8,30.8,44.0,38.4,41.7,39.9,35.4
RS-LIG-VN-SGN-001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,39.2,38.6,40.3,41.2,39.7,39.1,40.7,42.3,42.5,43.0,42.8,42.3,41.2
4N-WST-NL-AMS-001,90.0,89.9,90.0,90.0,90.0,89.9,89.9,89.7,89.8,90.0,89.9,90.0,89.8,89.7,89.2,87.3,89.2,88.7,89.6,89.4,89.9,89.9,89.9,89.9,89.9,89.9,90.0,90.0,90.0
E2B6FED009E5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353,0,0,0,0,0
